复评编号,文件路径,标题,内容身份,核心内容,独特观点,独特案例或反例,思想演变或适用边界价值,原D级理由,原D级理由是否成立,复评分级,对应主书章节,具体位置,是否进入侧栏,是否进入附录,是否进入索引,是否进入完整典藏层,仍保持D级的明确理由,复评备注
DR-011,content/models/bayes-theorem.md,贝叶斯定理,通用模型与编辑扩展,贝叶斯定理揭示了新证据必须在先验概率背景下解读的核心逻辑，它从根本上改变你处理信息、更新判断和避免基础比率忽视的方式。,相对芒格原始演讲，该稿新增了“贝叶斯定理”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,为什么你的直觉错了；芒格为什么重视这个定理；投资中的贝叶斯思维：从巴菲特买IBM说起,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-04,章节侧栏/补充解释“贝叶斯定理”（munger-ch-04）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-012,content/models/biological-redundancy.md,生物冗余设计,通用模型与编辑扩展,生物冗余设计是三十亿年进化对不确定性的终极回应——你有两个肾不是浪费而是生存智慧，安全边际的本质就是为未知风险留出余量。,相对芒格原始演讲，该稿新增了“生物冗余设计”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,你为什么有两个肾；泰坦尼克号与冗余的缺失；伯克希尔的冗余哲学,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-06,章节侧栏/补充解释“生物冗余设计”（munger-ch-06）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-013,content/models/co-evolution.md,协同进化,通用模型与编辑扩展,协同进化揭示了物种间相互施加选择压力、彼此塑造演化轨迹的耦合关系——花的颜色和蜜蜂的口器都是被对方的存在雕刻出来的。,相对芒格原始演讲，该稿新增了“协同进化”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,花为什么是彩色的；苹果与App开发者：一场教科书级的互利协同进化；监管与被监管行业：对抗型协同进化,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-08,模型身份附录“生物学与进化论”分组及概念索引“协同进化”；关联munger-ch-08,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-014,content/models/complex-adaptive-systems.md,复杂适应系统,通用模型与编辑扩展,复杂适应系统由大量个体遵循简单规则、相互影响而产生无法预见的整体行为，从交通系统到经济体，理解涌现和自组织是把握复杂世界的关键。,相对芒格原始演讲，该稿新增了“复杂适应系统”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,没有交通指挥官的交通系统；股票市场：最纯粹的复杂适应系统；城市：自组织的奇迹,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-02,模型身份附录“生物学与进化论”分组及概念索引“复杂适应系统”；关联munger-ch-02,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-015,content/models/complex-systems.md,复杂系统,通用模型与编辑扩展,复杂适应系统(CAS)是整体行为无法由部件推导的系统：蚁群、大脑、市场、生态圈都属此类。讲清它的构成与涌现机制、与简单系统的本质区别，以及在风险识别与系统韧性中的应用——用简单系统的直觉处理复杂系统，是最昂贵的认知错误之一。,相对芒格原始演讲，该稿新增了“复杂系统”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,核心特征：复杂系统和简单系统有什么本质区别；标志性案例：蚁群——大自然花了一亿年演化出的复杂系统教科书；标志性案例：高速公路上的幽灵堵车——你亲身体验过的复杂系统,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-02,模型身份附录“复杂系统与决策科学”分组及概念索引“复杂系统”；关联munger-ch-02,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-016,content/models/conditional-probability-base-rates.md,条件概率与基础比率,通用模型与编辑扩展,条件概率与基础比率揭示了人类判断中最常见的错误——忽视先验概率而被表面证据误导，出租车问题经典地展示了为何直觉与正确答案相差甚远。,相对芒格原始演讲，该稿新增了“条件概率与基础比率”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,出租车问题：逐步拆解；芒格的铁律：先问“这类事情的总体成功率是多少”；“这家创业公司不一样” vs 创业的基础失败率,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-04,章节侧栏/补充解释“条件概率与基础比率”（munger-ch-04）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-017,content/models/consequentialism-vs-deontology.md,后果主义vs义务论,通用模型与编辑扩展,后果主义以结果判断行为的道德价值，义务论则坚持有些规则不论结果都须遵守。芒格试图同时对得起边沁和康德，在商业决策中平衡两者。,相对芒格原始演讲，该稿新增了“后果主义vs义务论”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,标志性案例：伦理困境中的两种声音；如何在决策中运用伦理双框架；在结果与原则之间,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-05,模型身份附录“历史学与哲学”分组及概念索引“后果主义vs义务论”；关联munger-ch-05,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-018,content/models/conservation-of-energy.md,能量守恒,通用模型与编辑扩展,能量守恒定律的商业表达就是没有免费午餐——从庞氏骗局到高收益理财产品，所有声称无中生有创造价值的方案都违反了宇宙最基本的物理定律。,相对芒格原始演讲，该稿新增了“能量守恒”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,宇宙的账本从不出错；庞氏骗局：当“价值不守恒”被伪装成商业模式；“免费”背后的真实价格,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-11,完整典藏层“通用模型候选/物理学与化学/能量守恒”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-019,content/models/convergent-evolution.md,趋同进化,通用模型与编辑扩展,趋同进化表明不同起点在相似环境压力下会演化出相似的解决方案——眼睛独立进化了40多次，因为物理定律约束下的最优解往往趋于一致。,相对芒格原始演讲，该稿新增了“趋同进化”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,当问题相同，答案也会相同；澳大利亚：自然界最壮观的趋同实验室；商业世界中的趋同进化,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-05,模型身份附录“生物学与进化论”分组及概念索引“趋同进化”；关联munger-ch-05,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-020,content/models/critical-mass-phase-transitions-in-systems.md,临界质量与相变,通用模型与编辑扩展,水在99度时还是水但101度变成了完全不同的蒸汽——世界上最重要的变化总是出人意料，因为迹象是线性的而变化是非线性的质的跃迁。,相对芒格原始演讲，该稿新增了“临界质量与相变”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,水在99度时是什么；相变的物理学：对称性破缺与序参量；银行挤兑：从稳固到崩塌的相变,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-10,章节侧栏/补充解释“临界质量与相变”（munger-ch-10）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-021,content/models/deferred-revenue-revenue-recognition.md,递延收入与收入确认,通用模型与编辑扩展,收入确认决定企业何时把交易记成收入，一行规则就能制造或拆穿利润幻觉。从安然到瑞幸，理解收入质量是识破财务造假的第一道防线，也是巴菲特看年报的第一组数字。,相对芒格原始演讲，该稿新增了“递延收入与收入确认”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,安然：一场收入幻觉如何摧毁千亿帝国；收入确认的核心逻辑：什么时候钱才算“赚到了”；递延收入：一种“好的负债”,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“递延收入与收入确认”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-022,content/models/design-for-maintainability.md,可维护性设计,通用模型与编辑扩展,F-104战斗机和平时期坠毁比战斗中被击落还多，根源是维护性设计的灾难——系统的长期价值不取决于最佳状态下能做什么，而取决于维护修复的难度。,相对芒格原始演讲，该稿新增了“可维护性设计”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,丰田生产方式：把可维护性刻入企业DNA；芒格的投资映射：寻找“好维护”的生意；为未来的自己设计,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“工程学”分组及概念索引“可维护性设计”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-023,content/models/disruptive-innovation.md,破坏性创新,通用模型与编辑扩展,在位者在每一步都做出正确决策却通向毁灭——颠覆者从被嘲笑的低端市场起步，沿经验曲线向上攀爬，这就是创新者的窘境。,相对芒格原始演讲，该稿新增了“破坏性创新”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一个大厂CEO的噩梦；Netflix：从一个邮包到一个帝国；芒格的“竞争性毁灭”：破坏性创新的前传,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“破坏性创新”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-024,content/models/ecosystem-thinking.md,生态系统思维,通用模型与编辑扩展,生态系统思维将市场经济视为一个由共生、竞争和协同进化构成的生态系统，帮助你看到企业在竞争格局中的隐藏位置和相互依存关系。,相对芒格原始演讲，该稿新增了“生态系统思维”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,一条小丑鱼的商业课；什么是生态系统思维；苹果生态系统：一座数字珊瑚礁,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“生态系统思维”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-025,content/models/enlightenment-rationalism.md,启蒙运动的理性传统,通用模型与编辑扩展,启蒙运动确立了理性优先于权威、信念须经验证检验、怀疑是美德三大原则，构成芒格整个思维体系的底层操作系统。,相对芒格原始演讲，该稿新增了“启蒙运动的理性传统”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,科学方法的诞生：启蒙运动最伟大的遗产；芒格为什么反对意识形态：启蒙精神的投资延伸；如何在生活和投资中践行启蒙精神,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-16,章节侧栏/补充解释“启蒙运动的理性传统”（munger-ch-16）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-026,content/models/entropy.md,熵,通用模型与编辑扩展,熵即热力学第二定律揭示了宇宙从有序走向无序的基本趋势——花园无人照料必然荒废，维持秩序需要持续投入能量，这是理解组织衰败的底层物理定律。,相对芒格原始演讲，该稿新增了“熵”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一座无人看管的花园；物理学家的噩梦：为什么打碎容易，复原不可能；西尔斯百货：一家企业的熵增之路,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“物理学与化学”分组及概念索引“熵”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-027,content/models/epigenetics.md,表观遗传学,通用模型与编辑扩展,表观遗传学揭示了不改变DNA序列本身、环境也能改变基因表达方式且这种改变可以遗传的深刻事实，荷兰饥荒的跨代效应是其经典案例。,相对芒格原始演讲，该稿新增了“表观遗传学”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,基因没变，但一切都变了；蜜蜂：同一基因组，两种命运；组织中的“表观遗传学”：不改使命，改行为,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-08,完整典藏层“通用模型候选/生物学与进化论/表观遗传学”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-028,content/models/equilibrium-and-far-from-equilibrium.md,均衡与远离均衡态,通用模型与编辑扩展,均衡是死亡、远离均衡是生命——生命体通过持续摄入低熵能量维持有序结构，普利高津的耗散结构理论揭示了企业和经济体维持活力的深层逻辑。,相对芒格原始演讲，该稿新增了“均衡与远离均衡态”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,两种稳定：死的和活的；一家企业是一个耗散结构；经济体：一个远离均衡的超级结构,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-11,完整典藏层“通用模型候选/物理学与化学/均衡与远离均衡态”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
