文件ID,来源文件,标题,字符数,所属人物,内容身份,分级,分级理由,对应主题,推荐用途,主版本,替代版本,是否需要事实核验,是否存在错误归因风险,芒格模型身份层级,模型身份说明,编辑可信度
DOC-017,content/articles/buffett/巴菲特：美国的未来_2017.md,巴菲特：美国的未来 2017,1821,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：美国的未来_2017.md,无,是,中,,,高
DOC-018,content/articles/buffett/巴菲特：美元效应_2009.md,巴菲特：美元效应 2009,1894,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|管理层与企业文化|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：美元效应_2009.md,无,是,中,,,高
DOC-019,content/articles/buffett/巴菲特：模糊数学与股票期权_2004.md,巴菲特：模糊数学与股票期权 2004,1736,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|伯克希尔制度|内在价值与安全边际,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：模糊数学与股票期权_2004.md,无,是,中,,,高
DOC-020,content/articles/buffett/巴菲特：谁是真正的账房先生.md,巴菲特：谁是真正的账房先生,1659,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|管理层与企业文化|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：谁是真正的账房先生.md,无,是,中,,,高
DOC-021,content/articles/buffett/巴菲特：收购_BNSF_铁路.md,巴菲特：收购 BNSF 铁路,17184,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,市场、风险与错误|资本配置|长期复利与品格,主书核心正文素材,content/articles/buffett/巴菲特：收购_BNSF_铁路.md,无,是,中,,,高
DOC-022,content/articles/buffett/巴菲特：我为什么不看好美元_2003.md,巴菲特：我为什么不看好美元 2003,8123,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格|伯克希尔制度,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：我为什么不看好美元_2003.md,无,是,中,,,高
DOC-023,content/articles/buffett/巴菲特估值逻辑.md,巴菲特估值逻辑,9181,巴菲特,专题文章中文翻译/编辑整理,D,汇编稿与原始信件或书目资料重合，作者身份也弱于原件。,内在价值与安全边际|市场、风险与错误|长期复利与品格,编辑检索参考,content/letters,无,是,中,,,高
DOC-024,content/articles/buffett/巴菲特合伙公司时代.md,巴菲特合伙公司时代,1601,巴菲特,专题文章中文翻译/编辑整理,D,汇编稿与原始信件或书目资料重合，作者身份也弱于原件。,管理层与企业文化|市场、风险与错误|能力圈与集中投资,编辑检索参考,content/partnership,无,是,中,,,高
DOC-025,content/articles/buffett/巴菲特合伙契约_1956.md,巴菲特合伙契约 1956,1568,巴菲特,专题文章中文翻译/编辑整理,D,汇编稿与原始信件或书目资料重合，作者身份也弱于原件。,管理层与企业文化|市场、风险与错误|能力圈与集中投资,编辑检索参考,content/partnership/partnership_1956-有限合伙协议.md,无,是,中,,,高
DOC-026,content/articles/buffett/巴菲特接见_Dardashti_2007.md,巴菲特接见 Dardashti 2007,2712,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|伯克希尔制度|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特接见_Dardashti_2007.md,无,是,中,,,高
DOC-027,content/articles/buffett/巴菲特青春时代.md,巴菲特青春时代,1943,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格|能力圈与集中投资,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特青春时代.md,无,是,中,,,高
DOC-028,content/articles/buffett/巴菲特收购_LTMC_要约_1998.md,巴菲特收购 LTMC 要约 1998,1320,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,资本配置|市场、风险与错误|伯克希尔制度,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特收购_LTMC_要约_1998.md,无,是,中,,,高
DOC-029,content/articles/buffett/巴菲特谈_GEICO1976.md,巴菲特谈 GEICO1976,2653,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,保险与浮存金|市场、风险与错误|企业质量与护城河,主书核心正文素材,content/articles/buffett/巴菲特谈_GEICO1976.md,无,是,中,,,高
DOC-030,content/articles/buffett/巴菲特谈股市_1974.md,巴菲特谈股市 1974,3002,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格|能力圈与集中投资,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈股市_1974.md,无,是,中,,,高
DOC-031,content/articles/buffett/巴菲特谈股市_1979.md,巴菲特谈股市 1979,3298,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,管理层与企业文化|市场、风险与错误|长期复利与品格,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈股市_1979.md,无,是,中,,,高
DOC-032,content/articles/buffett/巴菲特谈股市_1999.md,巴菲特谈股市 1999,4976,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,市场、风险与错误|长期复利与品格|伯克希尔制度,主书核心正文素材,content/articles/buffett/巴菲特谈股市_1999.md,无,是,中,,,高
DOC-033,content/articles/buffett/巴菲特谈股市_2001.md,巴菲特谈股市 2001,10793,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格|管理层与企业文化,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈股市_2001.md,无,是,中,,,高
DOC-034,content/articles/buffett/巴菲特谈施洛斯的信_1994.md,巴菲特谈施洛斯的信 1994,1212,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|能力圈与集中投资|伯克希尔制度,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈施洛斯的信_1994.md,无,是,中,,,高
DOC-035,content/articles/buffett/巴菲特谈通货膨胀_1977.md,巴菲特谈通货膨胀 1977,16171,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|资本配置|长期复利与品格,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈通货膨胀_1977.md,无,是,中,,,高
DOC-036,content/articles/buffett/巴菲特谈投资_1985.md,巴菲特谈投资 1985,3082,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,能力圈与集中投资|市场、风险与错误|内在价值与安全边际,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈投资_1985.md,无,是,中,,,高
DOC-037,content/articles/buffett/巴菲特谈投资_1988.md,巴菲特谈投资 1988,5053,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,市场、风险与错误|长期复利与品格|能力圈与集中投资,主书核心正文素材,content/articles/buffett/巴菲特谈投资_1988.md,无,是,中,,,高
DOC-038,content/articles/buffett/巴菲特谈微软的信_1997.md,巴菲特谈微软的信 1997,8010,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|企业质量与护城河|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈微软的信_1997.md,无,是,中,,,高
DOC-039,content/articles/buffett/巴菲特谈喜诗糖果_1972.md,巴菲特谈喜诗糖果 1972,22860,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,企业质量与护城河|市场、风险与错误|长期复利与品格,主书核心正文素材,content/articles/buffett/巴菲特谈喜诗糖果_1972.md,无,是,中,,,高
DOC-040,content/articles/buffett/巴菲特谈养老金问题_1975.md,巴菲特谈养老金问题 1975,13281,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈养老金问题_1975.md,无,是,中,,,高
DOC-041,content/articles/buffett/巴菲特谈指数期货_1982.md,巴菲特谈指数期货 1982,2746,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格|所有者思维,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特谈指数期货_1982.md,无,是,中,,,高
DOC-042,content/articles/buffett/巴菲特推荐过的书籍.md,巴菲特推荐过的书籍,49905,巴菲特,专题文章中文翻译/编辑整理,D,汇编稿与原始信件或书目资料重合，作者身份也弱于原件。,市场、风险与错误|能力圈与集中投资|长期复利与品格,编辑检索参考,content/articles/buffett/巴菲特推荐过的书籍.md,无,是,中,,,高
DOC-043,content/articles/buffett/巴菲特致所罗门股东信_1991.md,巴菲特致所罗门股东信 1991,4839,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,管理层与企业文化|市场、风险与错误|长期复利与品格,主书核心正文素材,content/articles/buffett/巴菲特致所罗门股东信_1991.md,无,是,中,,,高
DOC-044,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,伯克希尔 50 周年：过去、现在和未来,22808,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,伯克希尔制度|资本配置|市场、风险与错误,主书核心正文素材,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,无,是,中,,,高
DOC-045,content/articles/buffett/伯克希尔股东手册_1996.md,伯克希尔股东手册 1996,9815,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,伯克希尔制度|资本配置|市场、风险与错误,主书核心正文素材,content/articles/buffett/伯克希尔股东手册_1996.md,无,是,中,,,高
DOC-046,content/articles/buffett/财富杂志：沃伦之思_2008.md,财富杂志：沃伦之思 2008,5135,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|伯克希尔制度|企业质量与护城河,案例/侧栏/延伸阅读,content/articles/buffett/财富杂志：沃伦之思_2008.md,无,是,中,,,高
DOC-047,content/articles/buffett/企业收藏家_1977.md,企业收藏家 1977,5030,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|资本配置|能力圈与集中投资,案例/侧栏/延伸阅读,content/articles/buffett/企业收藏家_1977.md,无,是,中,,,高
DOC-048,content/articles/buffett/我最看好的股票：人寿保险_1957.md,我最看好的股票：人寿保险 1957,1460,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,保险与浮存金|市场、风险与错误|内在价值与安全边际,案例/侧栏/延伸阅读,content/articles/buffett/我最看好的股票：人寿保险_1957.md,无,是,中,,,高
DOC-049,content/articles/buffett/我最看好的股票：西部保险_1953.md,我最看好的股票：西部保险 1953,2354,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,保险与浮存金|市场、风险与错误|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/我最看好的股票：西部保险_1953.md,无,是,中,,,高
DOC-050,content/articles/buffett/我最看好的股票：油气资产管理公司_1957.md,我最看好的股票：油气资产管理公司 1957,2439,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|资本配置|长期复利与品格,案例/侧栏/延伸阅读,content/articles/buffett/我最看好的股票：油气资产管理公司_1957.md,无,是,中,,,高
DOC-051,content/articles/buffett/我最看好的股票：GEICO_保险_1951.md,我最看好的股票：GEICO 保险 1951,2466,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,保险与浮存金|市场、风险与错误|资本配置,主书核心正文素材,content/articles/buffett/我最看好的股票：GEICO_保险_1951.md,无,是,中,,,高
DOC-052,content/articles/buffett/沃伦在担心什么_2003.md,沃伦在担心什么 2003,4754,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|保险与浮存金|伯克希尔制度,案例/侧栏/延伸阅读,content/articles/buffett/沃伦在担心什么_2003.md,无,是,中,,,高
DOC-053,content/articles/munger/查理芒格：伯克希尔的总设计师.md,查理芒格：伯克希尔的总设计师,859,芒格,专题文章中文翻译/编辑整理,B,人物或专题材料有结构价值，但需区分原话与编辑整理。,投资与资本配置|商业判断|学习、品格与人生,人物导读/案例,content/articles/munger/查理芒格：伯克希尔的总设计师.md,无,是,中,,,高
DOC-054,content/articles/munger/芒格：2003_年的金融大丑闻.md,芒格：2003 年的金融大丑闻,9627,芒格,专题文章中文翻译/编辑整理,D,与选定主版本正文完全重复。,商业判断|投资与资本配置|复杂系统与通用模型,不收入；仅保留版本映射,poor-charlies-almanack/poor-charlies-almanack-talk-eight.md,无,是,中,,,高
DOC-055,content/articles/other/「所有者收益」vs「自由现金流」.md,「所有者收益」vs「自由现金流」,25201,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,资本配置|市场、风险与错误|所有者思维,背景说明/案例侧栏,content/articles/other/「所有者收益」vs「自由现金流」.md,无,是,中,,,高
DOC-056,content/articles/other/伯克希尔：集团企业的终极折让.md,伯克希尔：集团企业的终极折让,81518,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,保险与浮存金|市场、风险与错误|伯克希尔制度,背景说明/案例侧栏,content/articles/other/伯克希尔：集团企业的终极折让.md,无,是,中,,,高
DOC-057,content/articles/other/伯克希尔哈撒韦时代.md,伯克希尔哈撒韦时代,5949,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,资本配置|市场、风险与错误|伯克希尔制度,背景说明/案例侧栏,content/articles/other/伯克希尔哈撒韦时代.md,无,是,中,,,高
DOC-058,content/articles/other/伯克希尔投资历史.md,伯克希尔投资历史,41908,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,市场、风险与错误|资本配置|保险与浮存金,背景说明/案例侧栏,content/articles/other/伯克希尔投资历史.md,无,是,中,,,高
DOC-059,content/articles/other/伯克希尔业务版图.md,伯克希尔业务版图,14077,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,资本配置|市场、风险与错误|保险与浮存金,背景说明/案例侧栏,content/articles/other/伯克希尔业务版图.md,无,是,中,,,高
DOC-060,content/articles/other/伯克希尔与标普_500_指数.md,伯克希尔与标普 500 指数,19306,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,市场、风险与错误|资本配置|伯克希尔制度,背景说明/案例侧栏,content/articles/other/伯克希尔与标普_500_指数.md,无,是,中,,,高
DOC-061,content/articles/other/财富杂志：恐龙.md,财富杂志：恐龙,10899,其他/背景人物,第三方文章/编辑资料,C,与双书主线关系间接，保留作背景或典藏。,商业判断|市场、风险与错误|投资与资本配置,背景资料/典藏层,content/articles/other/财富杂志：恐龙.md,无,是,中,,,高
DOC-062,content/articles/other/恩师格雷厄姆生平回顾.md,恩师格雷厄姆生平回顾,39122,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,能力圈与集中投资|市场、风险与错误|资本配置,背景说明/案例侧栏,content/articles/other/恩师格雷厄姆生平回顾.md,无,是,中,,,高
DOC-063,content/articles/other/格雷厄姆谈股市_1976.md,格雷厄姆谈股市 1976,5970,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,能力圈与集中投资|市场、风险与错误|保险与浮存金,背景说明/案例侧栏,content/articles/other/格雷厄姆谈股市_1976.md,无,是,中,,,高
DOC-064,content/articles/other/关于市场先生和人性的理解.md,关于市场先生和人性的理解,32821,巴菲特相关,第三方文章/编辑资料,C,与双书主线关系间接，保留作背景或典藏。,市场、风险与错误|内在价值与安全边际|长期复利与品格,背景资料/典藏层,content/articles/other/关于市场先生和人性的理解.md,无,是,中,,,高
DOC-065,content/articles/other/杰米·戴蒙_2008_年致股东信.md,杰米·戴蒙 2008 年致股东信,31742,其他/背景人物,第三方文章/编辑资料,C,与双书主线关系间接，保留作背景或典藏。,市场、风险与错误|商业判断|投资与资本配置,背景资料/典藏层,content/articles/other/杰米·戴蒙_2008_年致股东信.md,无,是,中,,,高
DOC-066,content/articles/other/康布斯：在普通股中寻找价值.md,康布斯：在普通股中寻找价值,46647,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,市场、风险与错误|长期复利与品格|资本配置,背景说明/案例侧栏,content/articles/other/康布斯：在普通股中寻找价值.md,无,是,中,,,高
DOC-067,content/articles/other/考夫曼：Glenair_企业文化.md,考夫曼：Glenair 企业文化,26532,其他/背景人物,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,复杂系统与通用模型|商业判断|激励与制度,背景说明/案例侧栏,content/articles/other/考夫曼：Glenair_企业文化.md,无,是,中,,,高
DOC-068,content/articles/other/卢米斯：回顾职业生涯_2005.md,卢米斯：回顾职业生涯 2005,8745,其他/背景人物,第三方文章/编辑资料,C,与双书主线关系间接，保留作背景或典藏。,商业判断|资本配置|长期复利与品格,背景资料/典藏层,content/articles/other/卢米斯：回顾职业生涯_2005.md,无,是,中,,,高
DOC-069,content/articles/other/卢米斯：我在财富杂志的_51_年.md,卢米斯：我在财富杂志的 51 年,23245,其他/背景人物,第三方文章/编辑资料,C,与双书主线关系间接，保留作背景或典藏。,商业判断|市场、风险与错误|投资与资本配置,背景资料/典藏层,content/articles/other/卢米斯：我在财富杂志的_51_年.md,无,是,中,,,高
DOC-070,content/articles/other/如何建立能力圈.md,如何建立能力圈,50375,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,市场、风险与错误|能力圈与集中投资|保险与浮存金,背景说明/案例侧栏,content/articles/other/如何建立能力圈.md,无,是,中,,,高
DOC-071,content/articles/other/施洛斯：怀念恩师格雷厄姆_1976.md,施洛斯：怀念恩师格雷厄姆 1976,3157,巴菲特相关,第三方文章/编辑资料,B,第三方材料能解释核心概念或案例，必须标明第三方身份。,能力圈与集中投资|市场、风险与错误|保险与浮存金,背景说明/案例侧栏,content/articles/other/施洛斯：怀念恩师格雷厄姆_1976.md,无,是,中,,,高
DOC-072,content/articles/other/最资深的经理人桑迪威尔.md,最资深的经理人桑迪威尔,7667,其他/背景人物,第三方文章/编辑资料,C,与双书主线关系间接，保留作背景或典藏。,市场、风险与错误|保险与浮存金|商业判断,背景资料/典藏层,content/articles/other/最资深的经理人桑迪威尔.md,无,是,中,,,高
DOC-073,content/books/巴菲特之道-核心要点.md,巴菲特之道,518,巴菲特,图书要点/二手概括,C,二手书摘适合术语和延伸阅读，不作为人物思想直接证据。,所有者思维|内在价值与安全边际|市场、风险与错误,延伸书目/附录,content/books/巴菲特之道-核心要点.md,无,是,中,,,高
DOC-074,content/books/聪明的投资者-核心要点.md,聪明的投资者,639,其他/背景人物,图书要点/二手概括,C,二手书摘适合术语和延伸阅读，不作为人物思想直接证据。,投资与资本配置|内在价值与安全边际|市场、风险与错误,延伸书目/附录,content/books/聪明的投资者-核心要点.md,无,是,中,,,高
DOC-075,content/books/穷查理宝典-核心要点.md,穷查理宝典,790,巴菲特相关,图书要点/二手概括,C,二手书摘适合术语和延伸阅读，不作为人物思想直接证据。,长期复利与品格|能力圈与集中投资|内在价值与安全边际,延伸书目/附录,content/books/穷查理宝典-核心要点.md,无,是,中,,,高
DOC-076,content/books/投资最重要的事-核心要点.md,投资最重要的事,554,其他/背景人物,图书要点/二手概括,C,二手书摘适合术语和延伸阅读，不作为人物思想直接证据。,市场、风险与错误|投资与资本配置|逆向与决策工具,延伸书目/附录,content/books/投资最重要的事-核心要点.md,无,是,中,,,高
DOC-077,content/interviews/巴菲特：21_世纪经济领导者采访_2008.md,巴菲特：21 世纪经济领导者采访 2008,12724,巴菲特,访谈转录与中文整理,B,访谈适合补充案例、市场环境和人生主题，不宜整篇进入主书。,市场、风险与错误|长期复利与品格|资本配置,案例/侧栏/延伸阅读,content/interviews/巴菲特：21_世纪经济领导者采访_2008.md,无,抽检,低,,,高
DOC-078,content/interviews/巴菲特：查理·罗斯专访_2011.md,巴菲特：查理·罗斯专访 2011,22193,巴菲特,访谈转录与中文整理,B,访谈适合补充案例、市场环境和人生主题，不宜整篇进入主书。,市场、风险与错误|资本配置|长期复利与品格,案例/侧栏/延伸阅读,content/interviews/巴菲特：查理·罗斯专访_2011.md,无,抽检,低,,,高
DOC-079,content/interviews/巴菲特：查理罗斯专访_2007.md,巴菲特：查理罗斯专访 2007,46730,巴菲特,访谈转录与中文整理,B,访谈适合补充案例、市场环境和人生主题，不宜整篇进入主书。,市场、风险与错误|资本配置|伯克希尔制度,案例/侧栏/延伸阅读,content/interviews/巴菲特：查理罗斯专访_2007.md,无,抽检,低,,,高
DOC-080,content/interviews/巴菲特：慈善承诺倡议_2015.md,巴菲特：慈善承诺倡议 2015,30407,巴菲特,访谈转录与中文整理,B,访谈适合补充案例、市场环境和人生主题，不宜整篇进入主书。,长期复利与品格|市场、风险与错误|资本配置,案例/侧栏/延伸阅读,content/interviews/巴菲特：慈善承诺倡议_2015.md,无,抽检,低,,,高
