模型编号,来源文件,模型名称,学科,身份层级,身份定义,芒格直接证据,主书建议,分级,需要事实核验,错误归因风险,编辑备注
MM-047,content/models/consequentialism-vs-deontology.md,后果主义vs义务论,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-048,content/models/conservation-of-energy.md,能量守恒,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-049,content/models/contrast-misreaction-tendency.md,对比错误反应倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-050,content/models/convergent-evolution.md,趋同进化,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-051,content/models/corporate-culture-as-asset.md,企业文化作为资产,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-052,content/models/correlation-is-not-causation.md,相关不等于因果,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-053,content/models/critical-mass-phase-transitions-in-systems.md,临界质量与相变,复杂系统与决策科学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-054,content/models/critical-mass.md,临界质量,物理学与化学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-055,content/models/curiosity-tendency.md,好奇心倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-056,content/models/darwinian-objectivity.md,达尔文式客观态度,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-057,content/models/decision-tree-theory.md,决策树理论,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-058,content/models/deferred-revenue-revenue-recognition.md,递延收入与收入确认,会计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-059,content/models/delay-effects.md,延迟效应,复杂系统与决策科学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-060,content/models/depreciation-amortization.md,折旧与摊销,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-061,content/models/deprival-superreaction-tendency.md,被剥夺超级反应倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-062,content/models/design-for-maintainability.md,可维护性设计,工程学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-063,content/models/discounted-cash-flow.md,现金流贴现法,投资学与金融学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-064,content/models/disliking-hating-tendency.md,讨厌与憎恨倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-065,content/models/disruptive-innovation.md,破坏性创新,管理学与商业,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-066,content/models/double-entry-bookkeeping.md,复式记账法,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-067,content/models/doubt-avoidance-tendency.md,避免怀疑倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-068,content/models/drug-misinfluence-tendency.md,化学物质错误影响倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-069,content/models/economies-of-scale.md,规模优势,微观经济学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-070,content/models/ecosystem-thinking.md,生态系统思维,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-071,content/models/emergence.md,涌现性,复杂系统与决策科学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-072,content/models/empiricism.md,经验主义,历史学与哲学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-073,content/models/engineering-margin-of-safety.md,安全边际（工程源头）,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-074,content/models/enlightenment-rationalism.md,启蒙运动的理性传统,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-075,content/models/entropy.md,熵,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-076,content/models/envy-jealousy-tendency.md,艳羡与妒忌倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-077,content/models/epigenetics.md,表观遗传学,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-078,content/models/equilibrium-and-far-from-equilibrium.md,均衡与远离均衡态,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-079,content/models/evolutionary-arms-race.md,进化军备竞赛,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-080,content/models/evolutionary-epistemology.md,进化认识论,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-081,content/models/excessive-self-regard-tendency.md,自视过高的倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-082,content/models/exponential-growth.md,指数增长与种群动力学,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-083,content/models/externalities.md,外部性,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-084,content/models/extinction-irreversibility.md,灭绝与不可逆性,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-085,content/models/failure-mode-analysis.md,故障模式分析,工程学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-086,content/models/falsifiability-criterion.md,可证伪性标准,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-087,content/models/falsification.md,否证思维,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-088,content/models/fault-tolerance.md,容错设计与优雅降级,工程学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-089,content/models/feedback-loops.md,反馈环,物理学与化学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-090,content/models/feynman-technique.md,费曼技巧,元认知与思维方法论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-091,content/models/fiduciary-duty.md,信托责任,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-092,content/models/first-principles-thinking.md,第一性原理思维,元认知与思维方法论,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-093,content/models/five-ws-principle.md,五何原则,元认知与思维方法论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-094,content/models/flywheel-effect.md,飞轮效应,管理学与商业,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-095,content/models/fragility-antifragility.md,脆弱性与反脆弱性,复杂系统与决策科学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-096,content/models/franklins-self-improvement-system.md,富兰克林的自我修炼,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
