year,company,section_title,mapped_chapter,mapped_chapter_title,relevance,reason
1989,西科金融,[联邦储蓄贷款保险公司的灾难不会在房地美上演],9,第九章 群体、权威与被剥夺感,high,包含关键词「联邦储蓄、储蓄贷款」，与「第九章 群体、权威与被剥夺感」主题高度相关
1989,西科金融,[早期的储贷行业],9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1989,西科金融,[为什么银行和联邦存款保险公司安然无恙？],9,第九章 群体、权威与被剥夺感,medium,包含关键词「存款保险」，与「第九章 群体、权威与被剥夺感」主题高度相关
1989,西科金融,[亮眼的财务数字],11,第十一章 穿过会计看商业现实,medium,包含关键词「财务」，与「第十一章 穿过会计看商业现实」主题高度相关
1989,西科金融,[虚增短期利润，手段花样百出],11,第十一章 穿过会计看商业现实,medium,包含关键词「利润」，与「第十一章 穿过会计看商业现实」主题高度相关
1989,西科金融,[储贷行业用纳税人的钱赌博],11,第十一章 穿过会计看商业现实,high,包含关键词「税、纳税、赌博」，与「第十一章 穿过会计看商业现实」主题高度相关
1989,西科金融,加州圣巴巴拉市的地产项目,12,第十二章 好企业让少行动成为优势,medium,包含关键词「地产」，与「第十二章 好企业让少行动成为优势」主题高度相关
1989,西科金融,房地产项目大约何时完工？,12,第十二章 好企业让少行动成为优势,high,包含关键词「房地产、地产」，与「第十二章 好企业让少行动成为优势」主题高度相关
1989,西科金融,投资所罗门兄弟公司的逻辑,12,第十二章 好企业让少行动成为优势,high,包含关键词「所罗门、所罗门兄弟」，与「第十二章 好企业让少行动成为优势」主题高度相关
1989,西科金融,西科投资可口可乐的规模有多大？,12,第十二章 好企业让少行动成为优势,medium,包含关键词「可口可乐」，与「第十二章 好企业让少行动成为优势」主题高度相关
1989,西科金融,消防员基金保险公司的前景很难说,12,第十二章 好企业让少行动成为优势,medium,包含关键词「基金」，与「第十二章 好企业让少行动成为优势」主题高度相关
1989,西科金融,精密钢材将保持优秀,12,第十二章 好企业让少行动成为优势,medium,包含关键词「优秀」，与「第十二章 好企业让少行动成为优势」主题高度相关
1989,西科金融,伯克希尔是否会对西科剩余的股份提出要约收购？,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「伯克希尔」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1989,西科金融,威廉·奥斯勒爵士信奉的名言，同样是伯克希尔的经营哲学,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「伯克希尔」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1989,西科金融,蓝筹印花、伯克希尔纺织厂和沃尔玛的启示：形势比人强,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「伯克希尔」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1989,西科金融,[法律制定者一错再错，让人难以信任],14,第十四章 应得信任：合作如何降低摩擦,medium,包含关键词「信任」，与「第十四章 应得信任：合作如何降低摩擦」主题高度相关
1989,西科金融,[激进者占了便宜],15,第十五章 避免惯常的失败方式,medium,包含关键词「激进」，与「第十五章 避免惯常的失败方式」主题高度相关
1989,西科金融,[无论如何，互助储蓄都将继续遭受打击],15,第十五章 避免惯常的失败方式,medium,包含关键词「打击」，与「第十五章 避免惯常的失败方式」主题高度相关
1989,西科金融,我完成股东会流程没有路易斯·韦森特快,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,我们历尽曲折,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,商业财产保险行业的现状与未来,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,人身保险业务也有自己的难题,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,互助储蓄前途坎坷、忧患重重,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,西科贷款业务的条条框框,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,西科的内在价值,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[西科对房地美的投资],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[房地美的生意],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[股价低迷的原因],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[我们为何公开关于房地美的投资逻辑],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[政策的初衷是好的],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[繁荣总有尽头],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[监管部门的补救措施],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[修改限制的后果],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[赌赢了，吃香的喝辣的],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[垃圾债是最劣质的贷款],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[九龙治水，难以有效监管],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[赚钱效应让人趋之若鹜],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[劣币驱逐良币],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[政策调整引发了乱象],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[屋漏偏逢连夜雨------油价大跌],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[软弱无力的监管],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[幕后真凶------法律制定者和自私自利的行业高管],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[新法律将何去何从？],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[难以把握的分寸],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[对于1989年的新法律，我们不持乐观态度],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[问题的难度超出了人们的解决能力],16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1990,西科金融,我们老派而保守，总是留有充足的安全边际,5,第五章 逆向：先问怎样会失败,medium,包含关键词「安全边际」，与「第五章 逆向：先问怎样会失败」主题高度相关
1990,西科金融,储贷行业危机中的各种错，还不知如何收场,9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1990,西科金融,储贷行业因为愚蠢自私犯下大错,9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1990,西科金融,储贷行业将愈发艰难,9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1990,西科金融,我能看懂房地美，也看好它的发展,12,第十二章 好企业让少行动成为优势,medium,包含关键词「看好」，与「第十二章 好企业让少行动成为优势」主题高度相关
1990,西科金融,房地产小开发商遭遇信用紧缩,12,第十二章 好企业让少行动成为优势,high,包含关键词「房地产、地产」，与「第十二章 好企业让少行动成为优势」主题高度相关
1990,西科金融,货币市场基金把铜板赚尽，早晚会崩,12,第十二章 好企业让少行动成为优势,medium,包含关键词「基金」，与「第十二章 好企业让少行动成为优势」主题高度相关
1990,西科金融,"现在没""桶里射鱼""那么简单了，管理层却热衷收购",12,第十二章 好企业让少行动成为优势,medium,包含关键词「管理层」，与「第十二章 好企业让少行动成为优势」主题高度相关
1990,西科金融,应对危机的措施还不够,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1990,西科金融,本·格雷厄姆教我们的重要一课,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1990,西科金融,风险套利如同发放贷款,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1990,西科金融,最重要的知识，商学院没教,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1990,西科金融,低级垃圾债，如镜花水月,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1990,西科金融,天生丽质的公司，经得起时间的考验,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1990,西科金融,快进快出、唯利是图，不是我们的行事风格,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1991,西科金融,强生做得好，从错误中吸取教训是一种美德,3,第三章 终身学习：让模型保持活性,medium,包含关键词「吸取教训」，与「第三章 终身学习：让模型保持活性」主题高度相关
1991,西科金融,房地美是否用高杠杆实现了高利润？,11,第十一章 穿过会计看商业现实,medium,包含关键词「利润」，与「第十一章 穿过会计看商业现实」主题高度相关
1991,西科金融,富国银行有很多可取之处,12,第十二章 好企业让少行动成为优势,high,包含关键词「富国银行、富国」，与「第十二章 好企业让少行动成为优势」主题高度相关
1991,西科金融,弹药充足，总有机会,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「弹药」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1991,西科金融,如何看待负债？,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「负债」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1991,西科金融,关于房地美的三个问题：意外损失、高杠杆、更多买入,13,第十三章 少数机会、集中下注与资本配置,high,包含关键词「杠杆、多买」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1991,西科金融,亨利·辛格尔顿廉颇老矣，您和巴菲特呢？,14,第十四章 应得信任：合作如何降低摩擦,high,包含关键词「辛格尔顿、亨利·辛格尔顿」，与「第十四章 应得信任：合作如何降低摩擦」主题高度相关
1991,西科金融,房地美也会遭遇意外损失,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1991,西科金融,为什么没有买入更多房地美？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1991,西科金融,是否因新英格兰银行被其他州的银行收购而感到遗憾？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1991,西科金融,本·格雷厄姆很了不起，但也有盲点,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,劳合社危机说明，制度漏洞会毁掉优良传统,8,第八章 激励：制度比劝诫更诚实,medium,包含关键词「制度」，与「第八章 激励：制度比劝诫更诚实」主题高度相关
1992,西科金融,互助储蓄有可能收购破产的储贷机构吗？,9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1992,西科金融,如何看待日本的泡沫破裂？,9,第九章 群体、权威与被剥夺感,medium,包含关键词「泡沫」，与「第九章 群体、权威与被剥夺感」主题高度相关
1992,西科金融,是否对日本的经济泡沫破裂感到担忧？,9,第九章 群体、权威与被剥夺感,medium,包含关键词「泡沫」，与「第九章 群体、权威与被剥夺感」主题高度相关
1992,西科金融,与消防员基金保险公司合作的时机把握得很好,12,第十二章 好企业让少行动成为优势,medium,包含关键词「基金」，与「第十二章 好企业让少行动成为优势」主题高度相关
1992,西科金融,所罗门从危机中吸取了教训,12,第十二章 好企业让少行动成为优势,medium,包含关键词「所罗门」，与「第十二章 好企业让少行动成为优势」主题高度相关
1992,西科金融,房地美、房利美都是好生意,12,第十二章 好企业让少行动成为优势,high,包含关键词「好生意、好生意」，与「第十二章 好企业让少行动成为优势」主题高度相关
1992,西科金融,日本的金融业应该向它的制造业学习,12,第十二章 好企业让少行动成为优势,medium,包含关键词「制造业」，与「第十二章 好企业让少行动成为优势」主题高度相关
1992,西科金融,美国房地产市场正在经历20世纪30年代以来最严重的一次衰退,12,第十二章 好企业让少行动成为优势,high,包含关键词「房地产、地产」，与「第十二章 好企业让少行动成为优势」主题高度相关
1992,西科金融,我们只看通过最低标准的机会,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,关注IPO市场犹如在下水道里淘金,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,西科的保险业务与其他公司相比平凡无奇,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,西科有优势，但劣势也很明显,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,工伤险与车险不同,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,保险业和银行业的问题终会浮出水面，我们强迫自己与众不同,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,不做过于便宜的保险生意,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,房地美能在变化中寻求进步,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1992,西科金融,"买了房地美没买房利美，犯的错是""咬手指""",16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,我们离开了储贷行业，不代表别人做不好,9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1993,西科金融,房地美和房利美抢走了储贷行业的生意,9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1993,西科金融,裁员成本是一项巨大的隐形负债,11,第十一章 穿过会计看商业现实,medium,包含关键词「成本」，与「第十一章 穿过会计看商业现实」主题高度相关
1993,西科金融,加州的形势如此恶劣，为什么仍然看好富国银行？,12,第十二章 好企业让少行动成为优势,high,包含关键词「富国银行、富国、看好」，与「第十二章 好企业让少行动成为优势」主题高度相关
1993,西科金融,所罗门已经重新走上正轨,12,第十二章 好企业让少行动成为优势,medium,包含关键词「所罗门」，与「第十二章 好企业让少行动成为优势」主题高度相关
1993,西科金融,全美航空优先股的投资还没完,12,第十二章 好企业让少行动成为优势,medium,包含关键词「全美航空」，与「第十二章 好企业让少行动成为优势」主题高度相关
1993,西科金融,英国航空入股全美航空，是否有助于提升伯克希尔这笔投资的安全性？,12,第十二章 好企业让少行动成为优势,medium,包含关键词「全美航空」，与「第十二章 好企业让少行动成为优势」主题高度相关
1993,西科金融,PS集团的很多问题赶到一块了,12,第十二章 好企业让少行动成为优势,medium,包含关键词「PS集团」，与「第十二章 好企业让少行动成为优势」主题高度相关
1993,西科金融,这本书讲的是书呆子成功的故事，我喜欢这种故事,12,第十二章 好企业让少行动成为优势,medium,包含关键词「喜欢」，与「第十二章 好企业让少行动成为优势」主题高度相关
1993,西科金融,伯克希尔资本雄厚，能承受巨灾保险的大起大落,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「伯克希尔」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1993,西科金融,监管政策的改变让中小企业成为受害者,15,第十五章 避免惯常的失败方式,medium,包含关键词「受害者」，与「第十五章 避免惯常的失败方式」主题高度相关
1993,西科金融,西科的主要业务集中到了中西部,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,卖出互助储蓄是否会对西科的净资产产生影响？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,房地美按市值入账之后，保险分公司的净资产将是多少？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,决定退出是因为我们不适合,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,巨灾险等业务是否有足够的机会，能把我们的承保能力全用上？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,加州的危机很严重，我们只能坚持,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,我们有资金，在等大机会,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,西科是否仍然有意收购其他公司？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,当前的市场是否与1970年的市场类似？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,房地美和房利美前途无量,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,房地美和房利美如何防范贷款中介机构的欺诈行为？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,沃伦说这笔投资是他的非受迫性失误,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,我们打算提高旧印花票的兑换价值,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,劳合社再不复从前，金融业中的诱惑容易让人赌瘾发作,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1993,西科金融,西科的发展策略是谁制定的？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1994,西科金融,当今的股市算不上疯狂，对于风险应该小心防范,9,第九章 群体、权威与被剥夺感,medium,包含关键词「疯狂」，与「第九章 群体、权威与被剥夺感」主题高度相关
1994,西科金融,所罗门特别努力在控制利率风险,9,第九章 群体、权威与被剥夺感,medium,包含关键词「利率」，与「第九章 群体、权威与被剥夺感」主题高度相关
1994,西科金融,隐性负债须注意，会计造假极恶劣,11,第十一章 穿过会计看商业现实,high,包含关键词「会计、造假」，与「第十一章 穿过会计看商业现实」主题高度相关
1994,西科金融,收益率目标是估算的，尽最大努力实现,11,第十一章 穿过会计看商业现实,medium,包含关键词「收益率」，与「第十一章 穿过会计看商业现实」主题高度相关
1994,西科金融,汤普森出版和AT&T对比，要找不需要投入更多资本就能增长的公司,12,第十二章 好企业让少行动成为优势,medium,包含关键词「出版」，与「第十二章 好企业让少行动成为优势」主题高度相关
1994,西科金融,富国银行度过了危机，房地产生意很难,12,第十二章 好企业让少行动成为优势,high,包含关键词「富国银行、富国、房地产」，与「第十二章 好企业让少行动成为优势」主题高度相关
1994,西科金融,富国银行的完美答卷,12,第十二章 好企业让少行动成为优势,high,包含关键词「富国银行、富国」，与「第十二章 好企业让少行动成为优势」主题高度相关
1994,西科金融,就过去的情况来看，在房地产上赚大钱的是少数,12,第十二章 好企业让少行动成为优势,high,包含关键词「房地产、地产」，与「第十二章 好企业让少行动成为优势」主题高度相关
1994,西科金融,全美航空的危局需要各方面的共同努力,12,第十二章 好企业让少行动成为优势,medium,包含关键词「全美航空」，与「第十二章 好企业让少行动成为优势」主题高度相关
1994,西科金融,全美航空的高管一定会和所有员工同心同德，共克时艰,12,第十二章 好企业让少行动成为优势,medium,包含关键词「全美航空」，与「第十二章 好企业让少行动成为优势」主题高度相关
1994,西科金融,做股票投资的两种方法,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「股票投资」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1994,西科金融,西科与伯克希尔都将尽力而为，但西科无法比肩伯克希尔,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「伯克希尔」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1994,西科金融,我们不可能把伯克希尔的结构搞复杂,13,第十三章 少数机会、集中下注与资本配置,medium,包含关键词「伯克希尔」，与「第十三章 少数机会、集中下注与资本配置」主题高度相关
1994,西科金融,从别人的经验学习很重要，生意上的道理还要自己体会,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1994,西科金融,收割机公司和百货商店的教训,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1994,西科金融,"最近的股市与""漂亮五十""时期没有相似之处",16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1994,西科金融,我们注意躲避困境，但也会在价格合适的时候承担风险,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1994,西科金融,房地美有严格的管理和有效的对冲措施,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
