锚点,书卷,类型,状态,定义文件,引用文件
buffett-ch-07,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-ch-08,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-ch-09,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-ch-10,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-ch-11,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-ch-12,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-ch-13,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-ch-14,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-ch-15,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-index-cases,巴菲特卷,案例,已定义,editorial/buffett/archives/典藏层_概念·问题·案例总索引.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-index-companies,巴菲特卷,其他,已定义,editorial/buffett/archives/典藏层_企业索引.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-index-concepts,巴菲特卷,其他,已定义,editorial/buffett/archives/典藏层_概念·问题·案例总索引.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-index-people,巴菲特卷,其他,已定义,editorial/buffett/archives/典藏层_人物索引.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-index-questions,巴菲特卷,其他,已定义,editorial/buffett/archives/典藏层_概念·问题·案例总索引.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-part-01,巴菲特卷,篇,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md
buffett-part-02,巴菲特卷,篇,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md
buffett-part-03,巴菲特卷,篇,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md
buffett-part-04,巴菲特卷,篇,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md
buffett-part-05,巴菲特卷,篇,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md
buffett-sidebar-sees-goodwill,巴菲特卷,侧栏,已定义,editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md,editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-term-economic-goodwill,巴菲特卷,术语,已定义,editorial/buffett/appendices/附录A_术语表与案例索引.md|editorial/buffett/manuscript/全卷/所有者的眼光_巴菲特卷全卷锁定工作稿.md,editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
evidence-buffett-ch-01,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-02,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-03,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-04,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-05,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-06,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/shared/内部链接设计说明.md
evidence-buffett-ch-07,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-08,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-09,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-10,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-11,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-12,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-13,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-14,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-buffett-ch-15,巴菲特卷,章,已定义,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md,editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
evidence-munger-ch-01,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-02,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-03,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-04,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-05,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-06,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-07,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-08,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-09,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-10,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-11,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-12,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-13,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-14,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-15,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
evidence-munger-ch-16,芒格卷,章,已定义,editorial/munger/manuscript/芒格卷逐章证据规划.md,editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-app-checklist,芒格卷,附录,已定义,editorial/munger/appendices/附录二_双轨判断检查清单5组.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-app-model-identity,芒格卷,附录,已定义,editorial/munger/appendices/附录一_模型身份与思想源流对照表.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-app-psychology,芒格卷,附录,已定义,editorial/munger/appendices/附录三_25种心理倾向速查表.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-app-timeline,芒格卷,附录,已定义,editorial/munger/indexes/典藏A_芒格年表1924-2023.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-01,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-ch-02,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md|editorial/munger/illustrations/芒格样章插图任务卡.md
munger-ch-03,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-ch-04,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-ch-05,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-06,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-ch-07,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-ch-08,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-09,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-10,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-ch-11,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md|editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
munger-ch-12,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-13,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-14,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-15,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-ch-16,芒格卷,章,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-index-cases,芒格卷,案例,已定义,editorial/munger/indexes/典藏C_概念问题案例三类索引.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-index-companies,芒格卷,其他,已定义,editorial/munger/indexes/典藏B_关键人物与关键企业索引.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-index-concepts,芒格卷,其他,已定义,editorial/munger/indexes/典藏C_概念问题案例三类索引.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-index-people,芒格卷,其他,已定义,editorial/munger/indexes/典藏B_关键人物与关键企业索引.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-index-questions,芒格卷,其他,已定义,editorial/munger/indexes/典藏C_概念问题案例三类索引.md,editorial/munger/outline/芒格卷唯一融合三级目录.md|editorial/munger/manuscript/芒格卷逐章证据规划.md
munger-part-01,芒格卷,篇,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md
munger-part-02,芒格卷,篇,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md
munger-part-03,芒格卷,篇,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md
munger-part-04,芒格卷,篇,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md
munger-part-05,芒格卷,篇,已定义,editorial/munger/outline/芒格卷唯一融合三级目录.md,editorial/munger/outline/芒格卷唯一融合三级目录.md
munger-sidebar-model-identity,芒格卷,侧栏,已定义,editorial/munger/manuscript/样章_多元思维模型与知识格栅.md,editorial/munger/manuscript/样章_多元思维模型与知识格栅.md
