编号,文件路径,原分级,内容身份,原映射,审阅状态,二次精编决定,实际或计划位置,决定理由,文件字符数,典藏层
P1R-11,content/books/穷查理宝典-核心要点.md,C,图书要点/二手概括,buffett-ch-02,已逐篇审阅,暂不使用,完整典藏层,人物与篇章主线不匹配，保留交叉索引,1022,保留
P1R-12,content/interviews/巴菲特：对话_IVEY_商学院学生_2008.md,B,访谈转录与中文整理,buffett-ch-02,已逐篇审阅,采用,buffett-ch-02,同一企业不同市场价格与估值边界,4214,保留
P1R-13,content/partnership/partnership_1958-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-01,市场亢奋与独立判断早期语境,2464,保留
P1R-14,content/partnership/partnership_1959-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-02,衡量标准和价格纪律演变,1718,保留
P1R-15,content/partnership/partnership_1961-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-01|buffett-ch-02,低估、套利、控制三类方法及控制型所有权,9157,保留
P1R-16,content/partnership/partnership_1962-11月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,由主版本承接,完整典藏层,以协议与行政说明为主，独立思想增量有限,2040,保留
P1R-17,content/partnership/partnership_1963-12月-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,buffett-ch-01,已逐篇审阅,转入附录,税务附录,税务行政信息不进入本篇正文,843,保留
P1R-18,content/partnership/partnership_1963-interim-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,转入年表,合伙人信年表,阶段业绩和登普斯特进展由完整案例承接,6339,保留
P1R-19,content/partnership/partnership_1964-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-01|buffett-ch-02,复利、衡量标准、投资方法与目标,15677,保留
P1R-20,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-01,基本原则、集中上限与合伙人预期管理,2091,保留
P1R-21,content/partnership/partnership_1966-11月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-02,机会稀缺、估值纪律与不行动边界,2197,保留
P1R-22,content/partnership/partnership_1967-11月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-02,方法容量与降低回报预期的思想修正,1259,保留
P1R-23,content/partnership/partnership_1967-interim-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,转入年表,合伙人信年表,中期业绩资料不承担核心命题,3502,保留
P1R-24,content/partnership/partnership_1968-11月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,buffett-ch-02,已逐篇审阅,采用,buffett-ch-01|buffett-ch-02,市场环境变化、方法容量与合伙阶段收束,1297,保留
P1R-25,content/people/本杰明·格雷厄姆.md,B,人物背景资料/编辑整理,buffett-ch-02,已逐篇审阅,转入侧栏/索引,buffett-ch-01,人物背景和思想源流，不作直接引文,2534,保留
P1R-26,content/people/沃伦·巴菲特.md,B,人物背景资料/编辑整理,buffett-ch-02,已逐篇审阅,转入年表/索引,人物年表,人物概览由一手材料承接,1355,保留
