章节,文件路径,原分级,内容身份,审阅决定
buffett-ch-04,content/talks/巴菲特：斯坦福法学院演讲_1990.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/articles/buffett/巴菲特_你应该了解珠宝生意.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/articles/buffett/巴菲特谈_GEICO1976.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-06,content/articles/buffett/巴菲特谈微软的信_1997.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/articles/buffett/巴菲特谈喜诗糖果_1972.md,A,专题文章中文翻译/编辑整理,进入正文｜buffett-ch-06
buffett-ch-06,content/articles/buffett/财富杂志：沃伦之思_2008.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/interviews/巴菲特：对话_IVEY_商学院学生_2010.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/interviews/巴菲特：对话_IVEY_商学院学生_2012.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/interviews/巴菲特：对话奥奎尔俱乐部_2004.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/interviews/巴菲特：对话八所商学院学生_2011.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/interviews/巴菲特：对话八所商学院学生_2013.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/interviews/巴菲特：谈可口可乐薪酬方案_2014.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/interviews/巴菲特：追忆唐基奥_2015.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/talks/巴菲特：佛罗里达大学演讲_1998.md,A,演讲中文翻译/转录,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-06,content/talks/巴菲特：哥大商学院演讲_2002.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/talks/巴菲特：华盛顿大学谈话_1998.md,A,演讲中文翻译/转录,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-06,content/talks/巴菲特：内布拉斯加教育论坛演讲_1999.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-06,content/talks/巴菲特：圣母大学演讲_1991.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特：给全体经理人备忘录_2001.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特：给全体经理人备忘录_2010.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特：给全体经理人备忘录_2014.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特：美元效应_2009.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特：谁是真正的账房先生.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特谈股市_1979.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特谈股市_2001.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/articles/buffett/巴菲特致所罗门股东信_1991.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-08,content/interviews/巴菲特：对话内大商学院_2001.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/interviews/巴菲特：家族三代谈慈善_2013.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/interviews/巴菲特：CNBC_专访_2009.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/interviews/专访苏珊·巴菲特_2004.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/letters/berkshire_1970-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-08,content/people/格雷格·阿贝尔.md,B,人物背景资料/编辑整理,进入正文｜buffett-ch-08
buffett-ch-08,content/people/汤姆·墨菲.md,B,人物背景资料/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-08,content/qa/巴菲特：慈善中国行_2010.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-08,content/talks/巴菲特：内布拉斯加大学演讲_1994.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特：给保尔森的信_2008.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特：股息巫术_2003.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特：关于游牧者基金_2014.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特：买入美国正当时_2008.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特：收购_BNSF_铁路.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特接见_Dardashti_2007.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特收购_LTMC_要约_1998.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特谈通货膨胀_1977.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/巴菲特谈养老金问题_1975.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/articles/buffett/伯克希尔股东手册_1996.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/articles/buffett/我最看好的股票：西部保险_1953.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/我最看好的股票：油气资产管理公司_1957.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/buffett/我最看好的股票：GEICO_保险_1951.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/articles/other/伯克希尔哈撒韦时代.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/other/伯克希尔投资历史.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/other/伯克希尔业务版图.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/other/伯克希尔与标普_500_指数.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/articles/other/康布斯：在普通股中寻找价值.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：21_世纪经济领导者采访_2008.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：查理·罗斯专访_2011.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：查理罗斯专访_2007.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：慈善承诺倡议_2015.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：对话_IVEY_商学院学生_2014.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：对话_IVEY_商学院学生_2015.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：对话哥大商学院学生_2009.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：对话六所商学院学生_2009.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：对话沃顿商学院学生_2004.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：对话佐治亚大学学生_2007.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：解析经济危机_2008.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：恐慌是会传染的，我们必须做点什么_2009.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：跳着踢踏舞去上班_2012.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：CNBC_专访_2010.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/interviews/巴菲特：CNBC_专访_2014.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/letters/berkshire_1965-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1966-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1968-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1969-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1971-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1975-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1977-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/letters/berkshire_1980-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1982-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1983-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/letters/berkshire_1984-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/letters/berkshire_1985-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_1986-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入正文｜buffett-ch-10
buffett-ch-10,content/letters/berkshire_1990-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_2011-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/letters/berkshire_2012-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_2016-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/letters/berkshire_2017-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_2019-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_2020-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_2021-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/letters/berkshire_2022-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/letters/berkshire_2023-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1956-有限合伙协议.md,C,巴菲特合伙人信/协议中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/partnership/partnership_1957-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/partnership/partnership_1960-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/partnership/partnership_1961-interim-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1962-12月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1962-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1962-interim-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1963-annual-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/partnership/partnership_1964-interim-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1965-interim-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1966-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1966-interim-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1967-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1968-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1968-interim-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1969-10月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1969-12月26日-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1969-5月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1969-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1969-liquidation-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-10,content/partnership/partnership_1970-bond-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会发布会_2009.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_1994.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_1995.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_1997.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_1998.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_1999.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2001.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2002.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2003.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2004.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2005.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2006.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2007.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2008.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2009.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2016.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2017.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2018.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2019.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2021.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2022.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2023.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会实录_2025.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会问答_1986.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会问答_1987.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会问答_1990.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会问答_1991.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-10,content/qa/伯克希尔股东大会问答_1992.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/articles/buffett/巴菲特：保险业的_FDIC_2001.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/articles/buffett/沃伦在担心什么_2003.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/articles/other/伯克希尔：集团企业的终极折让.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/interviews/巴菲特：对话八所商学院学生_2016.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/interviews/巴菲特：金融危机调查委员会专访_2010.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/interviews/巴菲特：CNBC_专访_2011.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/letters/berkshire_1967-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1972-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1973-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1974-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1976-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1978-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1979-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1981-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_1987-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_1988-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1989-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_1991-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1992-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_1993-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1994-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1995-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1996-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_1997-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_1998-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
