节点编号,人物,核心命题,原始表达,来源文件,时间与场合,内容身份,主题标签,代表案例,相关观点,适用边界,建议章节,可信度,编辑备注
BA-015,巴菲特,低于内在价值的回购能提高剩余股东的每股价值。,在那个水平上，回购将立即且显著地提高伯克希尔现有股东的每股内在价值。,content/letters/berkshire_2015-巴菲特致股东信.md,2015年，伯克希尔股东信,巴菲特原始文献的中文翻译,回购|内在价值|资本配置,伯克希尔账面价值120%回购阈值,BA-003|BA-014,高价回购会毁损价值；必须考虑替代机会和流动性。,第五篇 回购的价格纪律,高,不要把历史阈值写成永久规则。
BA-016,巴菲特,收购对象应同时满足企业质量、管理层质量和合理价格。,我们买入就是为了永久持有。不过我们确实有一个“进入策略”——在美国和海外寻找符合我们六项标准、且价格能够产生合理回报的企业。,content/letters/berkshire_2005-巴菲特致股东信.md,2005年，伯克希尔股东信,巴菲特原始文献的中文翻译,收购|长期持有|价格纪律,伯克希尔无退出策略,BA-008|BA-010|BA-017,永久持有是偏好而非无条件承诺，证券持仓仍可能出售。,第五篇 收购与持有,高,与2016年“不承诺永久持有任何证券”并列。
BA-017,巴菲特,真正出色的企业与管理层值得用极长时间持有。,当我们持有既拥有出色业务又拥有出色管理层的公司股份时，我们最喜欢的持有期限是——永远。,content/letters/berkshire_1988-巴菲特致股东信.md,1988年，伯克希尔股东信,巴菲特原始文献的中文翻译,长期持有|优质企业|管理层,可口可乐与房地美,BA-008|BA-010|BA-016,并非任何股票都永久持有；商业质量和价格判断会变化。,第五篇 时间是好企业的朋友,高,需用2016年修正性表达限定。
BA-018,巴菲特,风险应按购买力永久损失的概率衡量，而非按价格波动衡量。,从我们的定义可以推出一个重要推论：一项投资的风险不是用贝塔值（beta，华尔街用来衡量风险的一个波动性指标）来衡量的，而是用那项投资在预期持有期内导致其持有人遭受购买力损失的概率——合理概率——来衡量的。,content/letters/berkshire_2011-巴菲特致股东信.md,2011年，伯克希尔股东信,巴菲特原始文献的中文翻译,风险|购买力|波动,现金、债券、黄金与生产性资产比较,BA-005|BA-019|BA-020,流动性、杠杆和期限错配能把波动转化为永久损失。,第六篇 风险不是一条曲线,高,用于风险定义核心框。
BA-019,巴菲特,市场混乱为有现金、有判断的人提供购买机会。,投资的时候，悲观是你的朋友，狂热是你的敌人。,content/letters/berkshire_2008-巴菲特致股东信.md,2008年，金融危机中的股东信,巴菲特原始文献的中文翻译,市场波动|逆周期|现金,2008年市场混乱中的证券购买,BA-006|BA-018|BA-020,逆向行动需要资产负债表安全和独立估值，不是自动抄底。,第六篇 在恐慌中保持选择权,高,与现金储备和不预测短期市场并写。
BA-020,巴菲特,现金是承诺、灾难和机会面前的生存与选择权。,伯克希尔永远不会把持有现金等价物看得比拥有优质企业更重要。,content/letters/berkshire_2024-巴菲特致股东信.md,2024年，伯克希尔股东信,巴菲特原始文献的中文翻译,现金|优质企业|流动性,伯克希尔巨额现金与美国企业持股,BA-018|BA-019,现金不是长期价值创造的终点，但杠杆和承诺决定最低安全储备。,第六篇 现金的双重角色,高,需配合历年“现金堡垒”表达，不把该句误读为排斥现金。
BA-021,巴菲特,优质保险浮存金能提供长期、可能低成本的可投资资金。,这种“先收后付”的模式让保险公司手握大笔资金——我们称之为“浮存金”——这些钱最终要赔给别人，但在此期间保险公司可以用浮存金为自己投资获利。,content/letters/berkshire_2019-巴菲特致股东信.md,2019年，伯克希尔股东信,巴菲特原始文献的中文翻译,保险|浮存金|资本配置,伯克希尔浮存金增长,BA-013|BA-022,浮存金是否有价值取决于承保纪律、成本、稳定性和尾部风险。,第七篇 伯克希尔的资金发动机,高,绝不能简称为无条件“免费资金”。
BA-022,巴菲特,承保纪律决定浮存金的成本，也决定保险能否成为长期优势。,凭借严格的承保纪律，这些资金长期来看很有可能实现零成本。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,巴菲特原始文献的中文翻译,保险|承保纪律|风险,阿勒格尼并表后的浮存金,BA-018|BA-021,单年承保利润不能证明长期成本为零，灾难风险需单独评估。,第七篇 浮存金不是魔法,高,与保险周期和巨灾年份案例结合。
BA-023,巴菲特,伯克希尔把日常经营下放给CEO，把资本配置和文化边界保留在总部。,伯克希尔负责这些子公司的资本配置，并选定负责日常运营决策的CEO。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,巴菲特原始文献的中文翻译,伯克希尔制度|去中心化|资本配置,数百家子公司的总部治理,BA-011|BA-013|BA-024,该制度依赖经理人质量、总部克制和声誉约束，不能脱离条件复制。,第八篇 伯克希尔作为制度,高,思想体系总图的制度节点。
BA-024,巴菲特,股东沟通应使市场价格尽量贴近内在价值，让持有回报对应企业表现。,我个人更倾向于市场价格始终贴近企业的内在价值。,content/letters/berkshire_1985-巴菲特致股东信.md,1985年，伯克希尔股东信,巴菲特原始文献的中文翻译,股东沟通|内在价值|股东群体,伯克希尔个人股东文化,BA-003|BA-023,管理层不能控制市场价格，只能通过政策和披露促进理性。,第八篇 选择股东也是资本配置,高,体现所有者关系，不只是一种公关风格。
BA-025,巴菲特,错误应按资本配置后果公开复盘，运气不能掩盖判断问题。,在管理伯克希尔的58年里，我的大部分资本配置决策都只能算马马虎虎。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,巴菲特原始文献的中文翻译,错误|资本配置|诚实,全美航空与所罗门兄弟险情,BA-013|BA-026,自我批评不能代替逐项分析错误机制和机会成本。,第九篇 错误是制度的输入,高,用于错误清单和思想修正。
BA-026,巴菲特,买下伯克希尔纺织业务展示了便宜资产与好生意之间的根本差别。,在这个价格购买股票，就像是捡起别人抛弃的只剩一口的雪茄烟蒂。,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,2014年回顾伯克希尔50年,巴菲特回顾文章的中文翻译,思想演变|烟蒂投资|企业质量,伯克希尔纺织业务,BA-005|BA-007|BA-025,低价资产在清算、治理和资本沉没条件不同的情况下仍可能有效。,第九篇 从便宜货到伟大企业,高,连接格雷厄姆阶段与芒格影响。
BA-027,巴菲特,会计结果不应支配经营和资本配置，经济实质优先。,会计结果不会影响我们的经营或资本配置决策。,content/letters/berkshire_1983-巴菲特致股东信.md,1983年，伯克希尔股东信,巴菲特原始文献的中文翻译,会计与经济现实|资本配置,控股收益与少数股权未报告收益,BA-002|BA-013,会计仍是必要语言，不能借“经济实质”回避核算纪律。,第二篇 穿透会计看经济现实,高,与透视收益和所有者收益并写。
BA-028,巴菲特,普通读者能学习的是原则、纪律和边界，不能复制保险结构、永久资本与交易渠道。,我们把这些持股视为伟大企业的合伙权益，而不是根据短期前景进行买卖的有价证券。,content/letters/berkshire_2011-巴菲特致股东信.md,2011年，伯克希尔股东信,巴菲特原始文献的中文翻译,适用边界|所有者思维|长期主义,美国运通、可口可乐、IBM、富国银行,BA-001|BA-017|BA-021,个体投资者没有伯克希尔的浮存金、税务条件和控股权。,结语 哪些能学，哪些不能照搬,高,作为全书适用边界总括。
