节点编号,一级主题,二级主题,核心命题,人物原始表达,来源文件,时间与背景,底层机制,代表案例,思想演变,常见误解,适用边界,相关节点,建议章节,书内锚点,编辑可信度
BS-011,信任,去中心化|品行,伯克希尔以高度信任授权经营，但对品行问题零容忍。,我们对商业上的失误可以谅解；但对个人品行问题的容忍度为零。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,伯克希尔子公司CEO制度,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,信任不能替代必要的规则、审计和接班机制。,BA-010|BA-012|BA-023,第四篇 信任与边界,bs-011,高
BS-012,声誉,企业文化|管理边界,声誉是分散经营体系中不可透支的共同资产。,伯克希尔的声誉掌握在你们手中。,content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,2006年，致经理人备忘录,通过事实、激励、机会成本和反馈机制把原则转化为判断。,伯克希尔经理人行为规范,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,声誉原则需要转化为具体升级、报告和问责流程。,BA-011|BA-023,第四篇 声誉比利润更难修复,bs-012,高
BS-013,资本配置,留存收益|管理层,资本配置是伯克希尔管理层的核心工作，留存越多责任越大。,查理跟我的第二项工作是资本配置，这对伯克希尔来说比大多数公司都更具挑战性。,content/letters/berkshire_1986-巴菲特致股东信.md,1986年，伯克希尔股东信,在留存、分红、回购、收购与现金之间比较增量回报。,伯克希尔高盈利、低增量资本业务组合,从合伙公司证券选择扩展为伯克希尔全集团的资本配置制度，并在晚年公开复盘错误。,误解为一个脱离价格、条件和制度背景的投资口号。,资本配置质量必须按长期增量价值评估，不能只看交易数量。,BA-007|BA-014|BA-015,第五篇 经理人的第二项工作,bs-013,高
BS-014,留存收益,分红|回购,留存收益只有能以有吸引力的回报率再投资时才合理。,如果某些行业对资本需求很低，或者管理层有把资金投入低回报项目的记录，那么收益就应该分配给股东或用来回购股票。,content/letters/berkshire_1978-巴菲特致股东信.md,1978年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,全资与少数股权企业的利润处理,从合伙公司证券选择扩展为伯克希尔全集团的资本配置制度，并在晚年公开复盘错误。,误解为一个脱离价格、条件和制度背景的投资口号。,不能仅因企业能增长就证明留存合理，关键是增量回报。,BA-013|BA-015,第五篇 一美元留存值多少,bs-014,高
BS-015,回购,内在价值|资本配置,低于内在价值的回购能提高剩余股东的每股价值。,在那个水平上，回购将立即且显著地提高伯克希尔现有股东的每股内在价值。,content/letters/berkshire_2015-巴菲特致股东信.md,2015年，伯克希尔股东信,以未来可分配现金流和机会成本连接价格与价值。,伯克希尔账面价值120%回购阈值,从合伙公司证券选择扩展为伯克希尔全集团的资本配置制度，并在晚年公开复盘错误。,误解为一个脱离价格、条件和制度背景的投资口号。,高价回购会毁损价值；必须考虑替代机会和流动性。,BA-003|BA-014,第五篇 回购的价格纪律,bs-015,高
BS-016,收购,长期持有|价格纪律,收购对象应同时满足企业质量、管理层质量和合理价格。,我们买入就是为了永久持有。不过我们确实有一个“进入策略”——在美国和海外寻找符合我们六项标准、且价格能够产生合理回报的企业。,content/letters/berkshire_2005-巴菲特致股东信.md,2005年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,伯克希尔无退出策略,1970年代喜诗等案例推动质量意识，1980年代形成“好企业＋好管理层＋长期持有”的成熟表达。,误解为任何股票都应永不卖出。,永久持有是偏好而非无条件承诺，证券持仓仍可能出售。,BA-008|BA-010|BA-017,第五篇 收购与持有,bs-016,高
BS-017,长期持有,优质企业|管理层,真正出色的企业与管理层值得用极长时间持有。,当我们持有既拥有出色业务又拥有出色管理层的公司股份时，我们最喜欢的持有期限是——永远。,content/letters/berkshire_1988-巴菲特致股东信.md,1988年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,可口可乐与房地美,1970年代喜诗等案例推动质量意识，1980年代形成“好企业＋好管理层＋长期持有”的成熟表达。,误解为任何股票都应永不卖出。,并非任何股票都永久持有；商业质量和价格判断会变化。,BA-008|BA-010|BA-016,第五篇 时间是好企业的朋友,bs-017,高
BS-018,风险,购买力|波动,风险应按购买力永久损失的概率衡量，而非按价格波动衡量。,从我们的定义可以推出一个重要推论：一项投资的风险不是用贝塔值（beta，华尔街用来衡量风险的一个波动性指标）来衡量的，而是用那项投资在预期持有期内导致其持有人遭受购买力损失的概率——合理概率——来衡量的。,content/letters/berkshire_2011-巴菲特致股东信.md,2011年，伯克希尔股东信,永久损失概率由资产质量、价格、杠杆、期限和行为共同决定。,现金、债券、黄金与生产性资产比较,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为价格波动完全无关紧要。,流动性、杠杆和期限错配能把波动转化为永久损失。,BA-005|BA-019|BA-020,第六篇 风险不是一条曲线,bs-018,高
BS-019,市场波动,逆周期|现金,市场混乱为有现金、有判断的人提供购买机会。,投资的时候，悲观是你的朋友，狂热是你的敌人。,content/letters/berkshire_2008-巴菲特致股东信.md,2008年，金融危机中的股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,2008年市场混乱中的证券购买,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为现金越多越好，或现金永远拖累价值。,逆向行动需要资产负债表安全和独立估值，不是自动抄底。,BA-006|BA-018|BA-020,第六篇 在恐慌中保持选择权,bs-019,高
BS-020,现金,优质企业|流动性,现金是承诺、灾难和机会面前的生存与选择权。,伯克希尔永远不会把持有现金等价物看得比拥有优质企业更重要。,content/letters/berkshire_2024-巴菲特致股东信.md,2024年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,伯克希尔巨额现金与美国企业持股,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为现金越多越好，或现金永远拖累价值。,现金不是长期价值创造的终点，但杠杆和承诺决定最低安全储备。,BA-018|BA-019,第六篇 现金的双重角色,bs-020,高
BS-021,保险,浮存金|资本配置,优质保险浮存金能提供长期、可能低成本的可投资资金。,这种“先收后付”的模式让保险公司手握大笔资金——我们称之为“浮存金”——这些钱最终要赔给别人，但在此期间保险公司可以用浮存金为自己投资获利。,content/letters/berkshire_2019-巴菲特致股东信.md,2019年，伯克希尔股东信,在留存、分红、回购、收购与现金之间比较增量回报。,伯克希尔浮存金增长,从合伙公司证券选择扩展为伯克希尔全集团的资本配置制度，并在晚年公开复盘错误。,误解为一个脱离价格、条件和制度背景的投资口号。,浮存金是否有价值取决于承保纪律、成本、稳定性和尾部风险。,BA-013|BA-022,第七篇 伯克希尔的资金发动机,bs-021,高
BS-022,保险,承保纪律|风险,承保纪律决定浮存金的成本，也决定保险能否成为长期优势。,凭借严格的承保纪律，这些资金长期来看很有可能实现零成本。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,先收后付形成可投资负债，承保结果决定资金成本。,阿勒格尼并表后的浮存金,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为价格波动完全无关紧要。,单年承保利润不能证明长期成本为零，灾难风险需单独评估。,BA-018|BA-021,第七篇 浮存金不是魔法,bs-022,高
BS-023,伯克希尔制度,去中心化|资本配置,伯克希尔把日常经营下放给CEO，把资本配置和文化边界保留在总部。,伯克希尔负责这些子公司的资本配置，并选定负责日常运营决策的CEO。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,在留存、分红、回购、收购与现金之间比较增量回报。,数百家子公司的总部治理,从合伙公司证券选择扩展为伯克希尔全集团的资本配置制度，并在晚年公开复盘错误。,误解为一个脱离价格、条件和制度背景的投资口号。,该制度依赖经理人质量、总部克制和声誉约束，不能脱离条件复制。,BA-011|BA-013|BA-024,第八篇 伯克希尔作为制度,bs-023,高
BS-024,股东沟通,内在价值|股东群体,股东沟通应使市场价格尽量贴近内在价值，让持有回报对应企业表现。,我个人更倾向于市场价格始终贴近企业的内在价值。,content/letters/berkshire_1985-巴菲特致股东信.md,1985年，伯克希尔股东信,以未来可分配现金流和机会成本连接价格与价值。,伯克希尔个人股东文化,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,管理层不能控制市场价格，只能通过政策和披露促进理性。,BA-003|BA-023,第八篇 选择股东也是资本配置,bs-024,高
BS-025,错误,资本配置|诚实,错误应按资本配置后果公开复盘，运气不能掩盖判断问题。,在管理伯克希尔的58年里，我的大部分资本配置决策都只能算马马虎虎。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,在留存、分红、回购、收购与现金之间比较增量回报。,全美航空与所罗门兄弟险情,从合伙公司证券选择扩展为伯克希尔全集团的资本配置制度，并在晚年公开复盘错误。,误解为一个脱离价格、条件和制度背景的投资口号。,自我批评不能代替逐项分析错误机制和机会成本。,BA-013|BA-026,第九篇 错误是制度的输入,bs-025,高
BS-026,思想演变,烟蒂投资|企业质量,买下伯克希尔纺织业务展示了便宜资产与好生意之间的根本差别。,在这个价格购买股票，就像是捡起别人抛弃的只剩一口的雪茄烟蒂。,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,2014年回顾伯克希尔50年,高资本回报、持久优势与低增量资本共同释放可再配置现金。,伯克希尔纺织业务,1970年代喜诗等案例推动质量意识，1980年代形成“好企业＋好管理层＋长期持有”的成熟表达。,误解为一个脱离价格、条件和制度背景的投资口号。,低价资产在清算、治理和资本沉没条件不同的情况下仍可能有效。,BA-005|BA-007|BA-025,第九篇 从便宜货到伟大企业,bs-026,高
BS-027,会计与经济现实,资本配置,会计结果不应支配经营和资本配置，经济实质优先。,会计结果不会影响我们的经营或资本配置决策。,content/letters/berkshire_1983-巴菲特致股东信.md,1983年，伯克希尔股东信,在留存、分红、回购、收购与现金之间比较增量回报。,控股收益与少数股权未报告收益,从合伙公司证券选择扩展为伯克希尔全集团的资本配置制度，并在晚年公开复盘错误。,误解为一个脱离价格、条件和制度背景的投资口号。,会计仍是必要语言，不能借“经济实质”回避核算纪律。,BA-002|BA-013,第二篇 穿透会计看经济现实,bs-027,高
BS-028,适用边界,所有者思维|长期主义,普通读者能学习的是原则、纪律和边界，不能复制保险结构、永久资本与交易渠道。,我们把这些持股视为伟大企业的合伙权益，而不是根据短期前景进行买卖的有价证券。,content/letters/berkshire_2011-巴菲特致股东信.md,2011年，伯克希尔股东信,把证券价格问题还原为企业现金流、资本需求和所有者权利。,美国运通、可口可乐、IBM、富国银行,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,个体投资者没有伯克希尔的浮存金、税务条件和控股权。,BA-001|BA-017|BA-021,结语 哪些能学，哪些不能照搬,bs-028,高
